Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Month Name,Quarter,Day Name,Profit Margin
2023-07-18,Smartwatch,Electronics,North,3,2739,572.73,2023,7,July,3,Tuesday,20.910186199342824
2023-06-25,Keyboard,Accessories,West,5,1400,213.63,2023,6,June,2,Sunday,15.259285714285712
2023-11-13,Printer,Office,North,3,3477,939.2,2023,11,November,4,Monday,27.01179177451826
2022-07-09,Camera,Electronics,North,5,3475,570.36,2022,7,July,3,Saturday,16.413237410071943
2023-12-11,Laptop,Electronics,West,9,6138,1562.14,2023,12,December,4,Monday,25.450309547083744
2023-03-18,Camera,Electronics,West,5,3665,406.93,2023,3,March,1,Saturday,11.1031377899045
2024-08-09,Printer,Office,North,2,2372,206.42,2024,8,August,3,Friday,8.702360876897133
2024-05-04,Laptop,Electronics,North,2,1382,211.11,2024,5,May,2,Saturday,15.275687409551375
2022-09-04,Laptop,Electronics,West,1,1126,194.08,2022,9,September,3,Sunday,17.236234458259325
2022-10-21,Printer,Office,West,8,1376,152.1,2022,10,October,4,Friday,11.053779069767442
2024-01-22,Mouse,Accessories,West,4,988,147.91,2024,1,January,1,Monday,14.970647773279351
2023-04-09,Laptop,Electronics,North,9,10773,1907.36,2023,4,April,2,Sunday,17.705003248862898
2023-02-07,Headphones,Accessories,South,4,3252,713.46,2023,2,February,1,Tuesday,21.939114391143917
2023-05-04,Headphones,Accessories,North,3,2739,202.81,2023,5,May,2,Thursday,7.404527199707922
2023-04-18,Tablet,Electronics,South,7,2709,702.79,2023,4,April,2,Tuesday,25.942783314876337
2022-12-12,Printer,Office,West,3,936,201.24,2022,12,December,4,Monday,21.5
2022-09-11,Camera,Electronics,West,4,3720,410.92,2022,9,September,3,Sunday,11.046236559139786
2024-03-26,Mouse,Accessories,West,5,5320,716.91,2024,3,March,1,Tuesday,13.475751879699246
2023-09-20,Headphones,Accessories,East,4,804,121.51,2023,9,September,3,Wednesday,15.113184079601991
2023-05-25,Laptop,Electronics,North,8,1224,246.77,2023,5,May,2,Thursday,20.160947712418302
2022-12-04,Headphones,Accessories,South,9,8667,781.78,2022,12,December,4,Sunday,9.02019153109496
2022-06-10,Monitor,Accessories,West,3,3018,320.11,2022,6,June,2,Friday,10.606693174287608
2023-02-05,Laptop,Electronics,West,5,4325,1023.39,2023,2,February,1,Sunday,23.662196531791903
2024-01-20,Laptop,Electronics,South,3,1557,181.08,2024,1,January,1,Saturday,11.63005780346821
2022-01-27,Monitor,Accessories,South,6,3672,1002.5,2022,1,January,1,Thursday,27.30119825708061
2023-03-29,Mouse,Accessories,West,1,333,72.34,2023,3,March,1,Wednesday,21.72372372372373
2022-01-17,Headphones,Accessories,West,4,2384,577.26,2022,1,January,1,Monday,24.213926174496645
2024-11-26,Mouse,Accessories,West,6,888,210.39,2024,11,November,4,Tuesday,23.692567567567565
2024-09-19,Laptop,Electronics,West,5,3280,954.17,2024,9,September,3,Thursday,29.0905487804878
2023-07-20,Mouse,Accessories,South,7,1239,177.39,2023,7,July,3,Thursday,14.317191283292976
2024-05-03,Headphones,Accessories,East,8,5880,436.85,2024,5,May,2,Friday,7.429421768707484
2022-09-03,Smartphone,Electronics,West,2,1668,437.3,2022,9,September,3,Saturday,26.21702637889689
2024-07-09,Printer,Office,West,7,4109,1037.64,2024,7,July,3,Tuesday,25.252859576539304
2022-11-17,Smartwatch,Electronics,West,7,595,148.5,2022,11,November,4,Thursday,24.95798319327731
2023-12-28,Headphones,Accessories,East,7,8155,1587.91,2023,12,December,4,Thursday,19.47161250766401
2022-05-30,Monitor,Accessories,South,3,1872,553.1,2022,5,May,2,Monday,29.54594017094017
2024-04-17,Smartwatch,Electronics,East,6,2124,126.03,2024,4,April,2,Wednesday,5.93361581920904
2024-09-30,Monitor,Accessories,West,5,5210,1338.8,2024,9,September,3,Monday,25.696737044145877
2024-06-02,Mouse,Accessories,South,7,5761,362.48,2024,6,June,2,Sunday,6.291963200833189
2022-09-26,Headphones,Accessories,South,7,6895,1596.35,2022,9,September,3,Monday,23.152284263959388
2024-12-17,Smartwatch,Electronics,East,3,2118,317.08,2024,12,December,4,Tuesday,14.970727101038714
2024-10-09,Smartwatch,Electronics,North,5,830,58.28,2024,10,October,4,Wednesday,7.021686746987951
2023-07-14,Smartwatch,Electronics,North,1,851,93.56,2023,7,July,3,Friday,10.994124559341952
2023-12-05,Tablet,Electronics,East,5,4730,1365.63,2023,12,December,4,Tuesday,28.871670190274845
2022-06-03,Mouse,Accessories,West,6,5460,845.75,2022,6,June,2,Friday,15.48992673992674
2024-12-28,Headphones,Accessories,East,5,5795,310.6,2024,12,December,4,Saturday,5.35979292493529
2022-08-06,Laptop,Electronics,South,4,2008,338.44,2022,8,August,3,Saturday,16.85458167330677
2023-06-06,Mouse,Accessories,South,7,2842,425.24,2023,6,June,2,Tuesday,14.962702322308234
2024-02-01,Mouse,Accessories,East,4,3404,392.22,2024,2,February,1,Thursday,11.522326674500588
2023-05-31,Smartwatch,Electronics,West,1,1065,228.63,2023,5,May,2,Wednesday,21.467605633802812
2024-06-14,Tablet,Electronics,West,7,2149,121.69,2024,6,June,2,Friday,5.662633783154956
2024-08-14,Keyboard,Accessories,East,8,5912,1143.04,2024,8,August,3,Wednesday,19.33423545331529
2023-02-01,Mouse,Accessories,West,3,3348,331.28,2023,2,February,1,Wednesday,9.894862604540023
2024-04-28,Smartphone,Electronics,South,3,2409,531.79,2024,4,April,2,Sunday,22.07513491075135
2024-04-05,Tablet,Electronics,North,2,328,39.51,2024,4,April,2,Friday,12.045731707317072
2024-01-31,Smartphone,Electronics,West,8,6224,1561.42,2024,1,January,1,Wednesday,25.0870822622108
2024-01-09,Smartwatch,Electronics,North,5,2530,486.09,2024,1,January,1,Tuesday,19.213043478260868
2022-04-06,Headphones,Accessories,West,4,4108,462.17,2022,4,April,2,Wednesday,11.250486854917236
2024-05-22,Printer,Office,South,5,1640,391.36,2024,5,May,2,Wednesday,23.863414634146345
2023-12-30,Laptop,Electronics,South,1,111,19.33,2023,12,December,4,Saturday,17.414414414414413
2022-03-17,Headphones,Accessories,North,1,445,128.89,2022,3,March,1,Thursday,28.964044943820223
2022-05-24,Printer,Office,North,4,3600,623.72,2022,5,May,2,Tuesday,17.325555555555557
2024-06-09,Mouse,Accessories,North,3,1335,176.44,2024,6,June,2,Sunday,13.216479400749062
2024-12-01,Keyboard,Accessories,South,5,3090,242.15,2024,12,December,4,Sunday,7.836569579288026
2023-10-20,Printer,Office,East,5,3910,538.52,2023,10,October,4,Friday,13.772890025575446
2024-03-05,Camera,Electronics,South,1,219,32.67,2024,3,March,1,Tuesday,14.917808219178085
2022-12-05,Smartphone,Electronics,West,5,390,27.77,2022,12,December,4,Monday,7.12051282051282
2022-08-05,Laptop,Electronics,North,6,3294,359.61,2022,8,August,3,Friday,10.91712204007286
2023-03-21,Keyboard,Accessories,West,4,4572,1038.05,2023,3,March,1,Tuesday,22.70450568678915
2022-02-08,Monitor,Accessories,South,7,980,109.94,2022,2,February,1,Tuesday,11.218367346938775
2023-04-01,Headphones,Accessories,North,2,2262,532.12,2023,4,April,2,Saturday,23.52431476569408
2022-12-14,Camera,Electronics,South,7,7518,1655.91,2022,12,December,4,Wednesday,22.02593774940144
2022-05-14,Camera,Electronics,South,1,873,158.97,2022,5,May,2,Saturday,18.209621993127147
2022-02-16,Mouse,Accessories,North,6,1512,423.03,2022,2,February,1,Wednesday,27.9781746031746
2024-08-28,Laptop,Electronics,West,1,705,165.16,2024,8,August,3,Wednesday,23.42695035460993
2023-10-30,Smartwatch,Electronics,North,8,3256,533.7,2023,10,October,4,Monday,16.391277641277643
2023-06-24,Tablet,Electronics,West,4,556,81.77,2023,6,June,2,Saturday,14.7068345323741
2023-05-17,Mouse,Accessories,East,9,7101,2105.82,2023,5,May,2,Wednesday,29.655259822560204
2023-04-06,Laptop,Electronics,West,9,8802,1344.96,2023,4,April,2,Thursday,15.280163599182004
2023-03-26,Headphones,Accessories,South,6,5592,1294.16,2023,3,March,1,Sunday,23.143061516452075
2024-10-12,Tablet,Electronics,North,2,1852,168.92,2024,10,October,4,Saturday,9.12095032397408
2022-06-26,Monitor,Accessories,East,1,195,57.88,2022,6,June,2,Sunday,29.682051282051287
2022-04-15,Mouse,Accessories,East,9,7884,2054.02,2022,4,April,2,Friday,26.053018772196857
2023-12-10,Laptop,Electronics,East,5,4360,1160.55,2023,12,December,4,Sunday,26.618119266055047
2024-09-23,Mouse,Accessories,North,6,4920,929.18,2024,9,September,3,Monday,18.885772357723575
2022-01-01,Mouse,Accessories,East,3,3474,565.0,2022,1,January,1,Saturday,16.263672999424294
2022-02-03,Keyboard,Accessories,West,1,930,222.5,2022,2,February,1,Thursday,23.9247311827957
2023-03-14,Tablet,Electronics,South,7,1421,248.02,2023,3,March,1,Tuesday,17.45390570021112
2022-08-24,Headphones,Accessories,North,2,634,161.1,2022,8,August,3,Wednesday,25.41009463722397
2024-07-07,Camera,Electronics,East,1,673,114.42,2024,7,July,3,Sunday,17.00148588410104
2022-04-13,Mouse,Accessories,South,5,3135,787.7,2022,4,April,2,Wednesday,25.12599681020734
2024-05-08,Smartphone,Electronics,East,6,882,184.48,2024,5,May,2,Wednesday,20.91609977324263
2024-09-10,Smartphone,Electronics,East,4,1192,212.77,2024,9,September,3,Tuesday,17.8498322147651
2024-06-18,Printer,Office,South,3,390,112.08,2024,6,June,2,Tuesday,28.73846153846154
2024-09-10,Tablet,Electronics,North,1,834,95.54,2024,9,September,3,Tuesday,11.455635491606715
2022-05-06,Smartphone,Electronics,East,6,612,83.75,2022,5,May,2,Friday,13.68464052287582
2024-06-18,Headphones,Accessories,West,9,8073,710.23,2024,6,June,2,Tuesday,8.79759692803171
2023-10-29,Keyboard,Accessories,North,8,2640,723.88,2023,10,October,4,Sunday,27.41969696969697
2023-11-13,Smartphone,Electronics,North,3,3234,440.7,2023,11,November,4,Monday,13.627087198515769
2022-08-21,Monitor,Accessories,West,5,4435,355.51,2022,8,August,3,Sunday,8.016009019165725
2024-03-04,Smartwatch,Electronics,North,2,2302,305.07,2024,3,March,1,Monday,13.25238922675934
2022-04-17,Camera,Electronics,East,6,1728,307.44,2022,4,April,2,Sunday,17.791666666666668
2023-12-20,Laptop,Electronics,East,4,228,54.05,2023,12,December,4,Wednesday,23.70614035087719
2022-03-19,Tablet,Electronics,West,6,3450,705.74,2022,3,March,1,Saturday,20.45623188405797
2024-07-07,Smartphone,Electronics,South,8,7456,1702.48,2024,7,July,3,Sunday,22.833690987124463
2023-04-30,Smartphone,Electronics,West,6,4728,705.85,2023,4,April,2,Sunday,14.929145516074453
2024-03-22,Smartwatch,Electronics,North,7,945,124.62,2024,3,March,1,Friday,13.187301587301588
2022-03-08,Laptop,Electronics,North,4,296,65.05,2022,3,March,1,Tuesday,21.97635135135135
2023-09-15,Smartphone,Electronics,West,4,640,149.89,2023,9,September,3,Friday,23.4203125
2023-03-01,Tablet,Electronics,North,1,797,65.27,2023,3,March,1,Wednesday,8.189460476787955
2023-10-24,Monitor,Accessories,North,4,1456,431.89,2023,10,October,4,Tuesday,29.662774725274726
2024-04-22,Monitor,Accessories,South,6,4038,364.11,2024,4,April,2,Monday,9.01708766716196
2023-06-27,Tablet,Electronics,West,7,5656,355.81,2023,6,June,2,Tuesday,6.290841584158416
2023-04-13,Mouse,Accessories,West,4,3876,302.37,2023,4,April,2,Thursday,7.801083591331269
2023-05-19,Keyboard,Accessories,South,6,1002,114.7,2023,5,May,2,Friday,11.447105788423151
2024-11-15,Headphones,Accessories,East,9,2187,413.76,2024,11,November,4,Friday,18.919067215363512
2023-12-25,Mouse,Accessories,North,6,7146,1627.42,2023,12,December,4,Monday,22.773859501819203
2022-03-31,Keyboard,Accessories,South,1,189,14.88,2022,3,March,1,Thursday,7.8730158730158735
2024-04-24,Monitor,Accessories,East,5,940,266.02,2024,4,April,2,Wednesday,28.3
2022-01-10,Headphones,Accessories,North,1,951,127.58,2022,1,January,1,Monday,13.41535226077813
2022-11-17,Printer,Office,East,2,124,27.42,2022,11,November,4,Thursday,22.11290322580645
2024-06-29,Mouse,Accessories,West,9,7506,594.28,2024,6,June,2,Saturday,7.917399413802291
2022-11-14,Monitor,Accessories,West,7,8176,2308.76,2022,11,November,4,Monday,28.238258317025444
2023-08-11,Smartphone,Electronics,East,5,2125,632.68,2023,8,August,3,Friday,29.77317647058823
2024-05-22,Headphones,Accessories,North,1,967,59.98,2024,5,May,2,Wednesday,6.202688728024819
2022-03-19,Headphones,Accessories,South,5,270,29.41,2022,3,March,1,Saturday,10.892592592592592
2022-10-23,Keyboard,Accessories,West,9,10035,1486.3,2022,10,October,4,Sunday,14.811160936721471
2023-02-26,Printer,Office,North,8,6792,1125.23,2023,2,February,1,Sunday,16.56699057714959
2024-10-03,Printer,Office,East,1,714,99.13,2024,10,October,4,Thursday,13.88375350140056
2022-07-17,Smartphone,Electronics,South,5,765,157.64,2022,7,July,3,Sunday,20.606535947712416
2024-11-04,Headphones,Accessories,East,7,4221,358.02,2024,11,November,4,Monday,8.481876332622601
2023-02-24,Laptop,Electronics,North,4,2108,576.48,2023,2,February,1,Friday,27.3472485768501
2024-08-08,Monitor,Accessories,North,9,10530,2387.63,2024,8,August,3,Thursday,22.67454890788224
2024-05-14,Keyboard,Accessories,South,6,3396,914.17,2024,5,May,2,Tuesday,26.91902237926973
2022-01-15,Monitor,Accessories,North,4,1060,213.05,2022,1,January,1,Saturday,20.099056603773587
2022-05-10,Tablet,Electronics,East,5,480,73.07,2022,5,May,2,Tuesday,15.222916666666666
2022-03-10,Headphones,Accessories,West,3,2529,285.65,2022,3,March,1,Thursday,11.294978252273626
2022-01-23,Smartwatch,Electronics,East,8,4792,511.97,2022,1,January,1,Sunday,10.683848080133556
2024-09-19,Smartwatch,Electronics,East,8,8056,605.8,2024,9,September,3,Thursday,7.519860973187685
2024-06-06,Tablet,Electronics,North,4,4228,947.76,2024,6,June,2,Thursday,22.4162724692526
2024-10-10,Tablet,Electronics,East,1,653,93.78,2024,10,October,4,Thursday,14.361408882082696
2024-03-24,Tablet,Electronics,North,9,7452,1212.51,2024,3,March,1,Sunday,16.27093397745572
2023-07-21,Mouse,Accessories,East,4,4128,1156.71,2023,7,July,3,Friday,28.02107558139535
2022-07-21,Tablet,Electronics,West,5,5090,1201.56,2022,7,July,3,Thursday,23.606286836935165
2022-09-01,Camera,Electronics,North,5,4930,387.33,2022,9,September,3,Thursday,7.85659229208925
2023-04-20,Smartwatch,Electronics,South,6,2610,434.37,2023,4,April,2,Thursday,16.642528735632183
2023-12-11,Laptop,Electronics,North,3,2139,415.84,2023,12,December,4,Monday,19.440860215053764
2024-09-29,Tablet,Electronics,South,1,226,55.4,2024,9,September,3,Sunday,24.513274336283185
2023-11-20,Smartwatch,Electronics,West,2,2244,212.08,2023,11,November,4,Monday,9.450980392156865
2023-07-15,Monitor,Accessories,East,6,3150,578.87,2023,7,July,3,Saturday,18.3768253968254
2023-12-24,Laptop,Electronics,South,7,3388,347.19,2023,12,December,4,Sunday,10.247638724911452
2023-08-13,Laptop,Electronics,East,8,8736,580.31,2023,8,August,3,Sunday,6.6427426739926725
2022-04-24,Smartphone,Electronics,South,2,1102,176.53,2022,4,April,2,Sunday,16.01905626134301
2024-07-13,Monitor,Accessories,East,3,2640,199.97,2024,7,July,3,Saturday,7.574621212121212
2022-06-11,Printer,Office,West,3,2547,300.74,2022,6,June,2,Saturday,11.807616804083237
2024-10-28,Laptop,Electronics,North,7,728,64.82,2024,10,October,4,Monday,8.903846153846153
2022-11-24,Camera,Electronics,South,7,3444,607.44,2022,11,November,4,Thursday,17.637630662020907
2024-10-03,Camera,Electronics,West,5,3140,853.66,2024,10,October,4,Thursday,27.18662420382166
2024-03-24,Smartphone,Electronics,East,3,435,129.27,2024,3,March,1,Sunday,29.717241379310348
2024-06-28,Keyboard,Accessories,East,4,856,72.99,2024,6,June,2,Friday,8.526869158878505
2022-05-31,Printer,Office,North,2,112,23.33,2022,5,May,2,Tuesday,20.830357142857142
2024-03-25,Headphones,Accessories,North,3,2247,507.79,2024,3,March,1,Monday,22.59857587894971
2023-01-31,Keyboard,Accessories,West,2,1512,298.73,2023,1,January,1,Tuesday,19.757275132275133
2024-06-23,Mouse,Accessories,South,5,4915,1196.6,2024,6,June,2,Sunday,24.34587995930824
2023-08-16,Mouse,Accessories,South,3,2709,663.54,2023,8,August,3,Wednesday,24.49390919158361
2023-06-10,Tablet,Electronics,North,7,1239,118.36,2023,6,June,2,Saturday,9.552865213882162
2023-05-09,Tablet,Electronics,West,2,572,86.16,2023,5,May,2,Tuesday,15.062937062937062
2022-05-08,Smartwatch,Electronics,North,2,1708,93.25,2022,5,May,2,Sunday,5.459601873536299
2024-11-06,Smartwatch,Electronics,North,4,360,42.66,2024,11,November,4,Wednesday,11.85
2022-12-08,Camera,Electronics,North,6,3822,388.34,2022,12,December,4,Thursday,10.160648874934587
2022-09-25,Camera,Electronics,North,6,4680,932.97,2022,9,September,3,Sunday,19.93525641025641
2024-07-10,Camera,Electronics,North,5,2520,487.18,2024,7,July,3,Wednesday,19.33253968253968
2024-03-29,Smartwatch,Electronics,North,2,2138,619.29,2024,3,March,1,Friday,28.965855940130965
2022-01-11,Keyboard,Accessories,West,3,2529,169.6,2022,1,January,1,Tuesday,6.706207987346777
2022-04-08,Keyboard,Accessories,East,1,236,29.33,2022,4,April,2,Friday,12.427966101694915
2024-01-21,Tablet,Electronics,West,6,2730,636.48,2024,1,January,1,Sunday,23.31428571428572
2023-04-27,Headphones,Accessories,North,3,3021,872.49,2023,4,April,2,Thursday,28.88083416087388
2024-11-06,Smartwatch,Electronics,North,2,244,16.78,2024,11,November,4,Wednesday,6.8770491803278695
2022-05-11,Camera,Electronics,South,8,728,120.06,2022,5,May,2,Wednesday,16.49175824175824
2022-10-02,Mouse,Accessories,North,3,453,89.49,2022,10,October,4,Sunday,19.75496688741721
2022-01-12,Laptop,Electronics,South,1,379,84.38,2022,1,January,1,Wednesday,22.26385224274406
2023-01-09,Tablet,Electronics,West,3,2130,510.69,2023,1,January,1,Monday,23.97605633802817
2023-05-04,Monitor,Accessories,North,8,4120,710.11,2023,5,May,2,Thursday,17.235679611650486
2024-09-07,Smartwatch,Electronics,South,7,3150,299.7,2024,9,September,3,Saturday,9.514285714285714
2022-05-17,Smartwatch,Electronics,East,7,2688,603.07,2022,5,May,2,Tuesday,22.435639880952383
2023-08-17,Tablet,Electronics,East,2,1752,501.19,2023,8,August,3,Thursday,28.606735159817354
2023-09-07,Keyboard,Accessories,North,7,7308,948.4,2023,9,September,3,Thursday,12.977558839627804
2022-05-11,Tablet,Electronics,North,3,2007,160.84,2022,5,May,2,Wednesday,8.013951170901844
2023-05-12,Tablet,Electronics,West,7,7224,479.23,2023,5,May,2,Friday,6.633859357696567
2023-05-08,Monitor,Accessories,South,9,6939,1249.31,2023,5,May,2,Monday,18.00417927655282
2023-02-18,Smartphone,Electronics,East,7,5516,1475.67,2023,2,February,1,Saturday,26.75253807106599
2022-01-29,Printer,Office,South,2,2224,116.47,2022,1,January,1,Saturday,5.236960431654676
2023-01-12,Laptop,Electronics,South,5,3985,824.4,2023,1,January,1,Thursday,20.68757841907152
2022-01-03,Camera,Electronics,North,7,2723,638.26,2022,1,January,1,Monday,23.439588688946014
2022-10-20,Tablet,Electronics,North,2,746,170.75,2022,10,October,4,Thursday,22.8887399463807
2024-08-21,Laptop,Electronics,West,5,3170,245.25,2024,8,August,3,Wednesday,7.736593059936908
2023-12-11,Smartwatch,Electronics,East,5,550,63.11,2023,12,December,4,Monday,11.474545454545456
2022-08-14,Tablet,Electronics,North,8,480,132.45,2022,8,August,3,Sunday,27.59375
2024-06-03,Printer,Office,East,4,3284,354.4,2024,6,June,2,Monday,10.791717417783191
2024-01-23,Smartwatch,Electronics,South,2,1748,183.75,2024,1,January,1,Tuesday,10.512013729977117
2023-11-20,Headphones,Accessories,North,8,824,240.84,2023,11,November,4,Monday,29.228155339805827
2022-03-03,Headphones,Accessories,North,4,1872,448.46,2022,3,March,1,Thursday,23.95619658119658
2024-02-20,Tablet,Electronics,West,3,627,103.98,2024,2,February,1,Tuesday,16.583732057416267
2024-08-09,Camera,Electronics,East,9,5661,1104.02,2024,8,August,3,Friday,19.502208090443386
2022-06-19,Camera,Electronics,North,3,2910,765.47,2022,6,June,2,Sunday,26.304810996563575
2024-09-01,Tablet,Electronics,South,9,9036,1087.46,2024,9,September,3,Sunday,12.034749889331565
2024-08-30,Tablet,Electronics,West,5,4815,338.31,2024,8,August,3,Friday,7.026168224299066
2022-08-12,Mouse,Accessories,South,1,1187,206.28,2022,8,August,3,Friday,17.37826453243471
2022-08-04,Headphones,Accessories,East,3,3339,732.92,2022,8,August,3,Thursday,21.95028451632225
2024-02-20,Tablet,Electronics,East,1,620,165.43,2024,2,February,1,Tuesday,26.68225806451613
2023-02-26,Camera,Electronics,West,5,2025,414.42,2023,2,February,1,Sunday,20.465185185185184
2024-11-20,Printer,Office,East,5,3030,811.92,2024,11,November,4,Wednesday,26.79603960396039
2023-08-12,Smartwatch,Electronics,North,5,655,166.69,2023,8,August,3,Saturday,25.448854961832065
2022-01-17,Printer,Office,West,2,2238,294.54,2022,1,January,1,Monday,13.160857908847188
2023-04-12,Smartphone,Electronics,South,8,3312,811.31,2023,4,April,2,Wednesday,24.49607487922705
2023-07-26,Printer,Office,East,9,9387,1271.64,2023,7,July,3,Wednesday,13.546820070310003
2024-01-01,Mouse,Accessories,West,6,5790,1285.21,2024,1,January,1,Monday,22.19706390328152
2023-12-06,Laptop,Electronics,South,6,2700,527.97,2023,12,December,4,Wednesday,19.55444444444445
2023-12-05,Smartwatch,Electronics,East,8,2072,555.06,2023,12,December,4,Tuesday,26.788610038610035
2024-10-27,Keyboard,Accessories,North,3,2991,716.54,2024,10,October,4,Sunday,23.956536275493143
2024-08-04,Laptop,Electronics,East,6,5568,958.59,2024,8,August,3,Sunday,17.21605603448276
2023-02-01,Smartwatch,Electronics,North,7,5509,1648.74,2023,2,February,1,Wednesday,29.928117625703397
2024-06-02,Printer,Office,West,7,5922,1323.1,2024,6,June,2,Sunday,22.342114150624788
2024-04-28,Smartphone,Electronics,South,4,4380,362.81,2024,4,April,2,Sunday,8.283333333333333
2022-03-25,Tablet,Electronics,South,5,1760,272.68,2022,3,March,1,Friday,15.49318181818182
2024-10-05,Headphones,Accessories,North,9,5571,1523.81,2024,10,October,4,Saturday,27.35253993896966
2024-12-19,Tablet,Electronics,South,2,1082,182.1,2024,12,December,4,Thursday,16.829944547134936
2022-07-18,Camera,Electronics,East,1,569,138.11,2022,7,July,3,Monday,24.272407732864675
2023-06-11,Mouse,Accessories,North,8,3416,697.42,2023,6,June,2,Sunday,20.416276346604214
2024-10-13,Printer,Office,West,1,570,57.07,2024,10,October,4,Sunday,10.012280701754388
2023-08-07,Monitor,Accessories,East,6,3300,386.92,2023,8,August,3,Monday,11.724848484848485
2022-12-04,Laptop,Electronics,South,8,2584,568.77,2022,12,December,4,Sunday,22.01122291021672
2024-02-18,Monitor,Accessories,South,9,7650,2204.44,2024,2,February,1,Sunday,28.8162091503268
2024-12-05,Headphones,Accessories,West,8,3600,272.51,2024,12,December,4,Thursday,7.5697222222222225
2023-12-15,Monitor,Accessories,West,6,846,190.87,2023,12,December,4,Friday,22.56146572104019
2023-08-12,Smartphone,Electronics,West,1,51,9.36,2023,8,August,3,Saturday,18.352941176470587
2024-05-20,Smartwatch,Electronics,South,6,7056,586.91,2024,5,May,2,Monday,8.317885487528343
2024-06-05,Smartwatch,Electronics,West,2,384,38.41,2024,6,June,2,Wednesday,10.002604166666666
2022-01-09,Laptop,Electronics,South,8,2928,663.54,2022,1,January,1,Sunday,22.66188524590164
2023-12-17,Camera,Electronics,West,7,1904,352.86,2023,12,December,4,Sunday,18.532563025210084
2022-09-08,Tablet,Electronics,East,2,2314,312.07,2022,9,September,3,Thursday,13.486171132238548
2022-01-22,Printer,Office,South,4,1028,192.13,2022,1,January,1,Saturday,18.689688715953302
2024-09-04,Headphones,Accessories,South,9,8307,1326.23,2024,9,September,3,Wednesday,15.965210063801614
2024-01-20,Printer,Office,West,9,1539,203.54,2024,1,January,1,Saturday,13.225471085120208
2022-11-03,Tablet,Electronics,West,7,2506,537.98,2022,11,November,4,Thursday,21.467677573822822
2023-07-03,Smartphone,Electronics,West,6,5778,1232.54,2023,7,July,3,Monday,21.33160263066805
2024-01-25,Tablet,Electronics,East,9,10188,2165.78,2024,1,January,1,Thursday,21.258146839418927
2024-05-11,Monitor,Accessories,North,1,952,157.7,2024,5,May,2,Saturday,16.56512605042017
2024-01-02,Smartwatch,Electronics,West,8,3624,750.86,2024,1,January,1,Tuesday,20.71909492273731
2023-02-24,Keyboard,Accessories,South,8,7968,1551.12,2023,2,February,1,Friday,19.46686746987952
2024-07-20,Mouse,Accessories,South,2,1254,250.09,2024,7,July,3,Saturday,19.943381180223284
2023-06-14,Printer,Office,West,3,705,196.05,2023,6,June,2,Wednesday,27.80851063829787
2022-04-10,Mouse,Accessories,West,1,916,223.5,2022,4,April,2,Sunday,24.399563318777293
2024-10-01,Printer,Office,North,2,848,129.96,2024,10,October,4,Tuesday,15.325471698113208
2022-05-10,Monitor,Accessories,East,8,2240,313.17,2022,5,May,2,Tuesday,13.980803571428572
2022-01-28,Monitor,Accessories,South,1,940,120.35,2022,1,January,1,Friday,12.8031914893617
2023-04-05,Headphones,Accessories,West,5,1550,203.51,2023,4,April,2,Wednesday,13.129677419354838
